season,week,game_id,home_team,away_team,home_points,away_points,home_win
2025,3,2025-W03-BUF-MIA,BUF,MIA,31,21,1
2025,3,2025-W03-CAR-ATL,CAR,ATL,30,0,1
2025,3,2025-W03-CLE-GB,CLE,GB,13,10,1
2025,3,2025-W03-JAX-HOU,JAX,HOU,17,10,1
2025,3,2025-W03-MIN-CIN,MIN,CIN,48,10,1
2025,3,2025-W03-NE-PIT,NE,PIT,14,21,0
2025,3,2025-W03-PHI-LA,PHI,LA,33,26,1
2025,3,2025-W03-TB-NYJ,TB,NYJ,29,27,1
2025,3,2025-W03-TEN-IND,TEN,IND,20,41,0
2025,3,2025-W03-WAS-LV,WAS,LV,41,24,1
2025,3,2025-W03-LAC-DEN,LAC,DEN,23,20,1
2025,3,2025-W03-SEA-NO,SEA,NO,44,13,1
2025,3,2025-W03-CHI-DAL,CHI,DAL,31,14,1
2025,3,2025-W03-SF-ARI,SF,ARI,16,15,1
2025,3,2025-W03-NYG-KC,NYG,KC,9,22,0
2025,3,2025-W03-BAL-DET,BAL,DET,30,38,0
