season,week,game_id,home_team,away_team,home_points,away_points,home_win,blended_pred
2025,5,2025-W05-LA-SF,LA,SF,23,26,0,0.473
2025,5,2025-W05-CLE-MIN,CLE,MIN,17,21,0,0.407
2025,5,2025-W05-BAL-HOU,BAL,HOU,10,44,0,0.44
2025,5,2025-W05-CAR-MIA,CAR,MIA,27,24,1,0.472
2025,5,2025-W05-IND-LV,IND,LV,40,6,1,0.909
2025,5,2025-W05-NO-NYG,NO,NYG,26,14,1,0.692
2025,5,2025-W05-NYJ-DAL,NYJ,DAL,22,37,0,0.444
2025,5,2025-W05-PHI-DEN,PHI,DEN,17,21,0,0.9
2025,5,2025-W05-ARI-TEN,ARI,TEN,21,22,0,0.881
2025,5,2025-W05-SEA-TB,SEA,TB,35,38,0,0.624
2025,5,2025-W05-CIN-DET,CIN,DET,24,37,0,0.299
2025,5,2025-W05-LAC-WAS,LAC,WAS,10,27,0,0.433
2025,5,2025-W05-BUF-NE,BUF,NE,20,23,0,0.897
